slug,dob,birthplace,pcs_ranking,grand_tours,classics
bryan-coquard,25thApril 1992,Saint-Nazaire,275,12,8
milan-fretin,19thMarch 2001,Genk,1792,1,2
alexis-renard,1stJune 1999,Saint-Brieuc,,4,11
jenthe-biermans,30thOctober 1995,Geel,,5,13
benjamin-thomas-2,12thSeptember 1995,Lavaur,1559,6,7
clement-izquierdo,16thFebruary 2002,Marseille,,,3
dylan-teuns,1stMarch 1992,Diest,552,10,29
sylvain-moniquet,14thJanuary 1998,Namur,,5,7
louis-rouland,21stOctober 2002,Le Mans,,1,2
sam-maisonobe,8thSeptember 2003,Toulouse,,,1
jamie-meehan,6thSeptember 2003,Donegal,,,
hugo-page,24thJuly 2001,Chartres,,3,4
simon-carr,29thAugust 1998,Hereford,,5,2
valentin-ferron,8thFebruary 1998,Vienne,,2,8
emanuel-buchmann,18thNovember 1992,Ravensburg,1463,14,8
sergio-samitier,31stAugust 1995,Barbastro,,5,3
damien-touze,7thJuly 1996,Iville,,5,14
jan-maas,19thFebruary 1996,Bergen op Zoom,,2,8
alex-kirsch,12thJune 1992,Luxembourg,,6,15
edoardo-zamperini,19thMarch 2003,Azzago,,,2
oliver-knight,25thJanuary 2001,Bedford,,1,1
paul-ourselin,13thApril 1994,Saint-Pierre-sur-Dives,,4,15
yael-joalland,20thSeptember 2000,Saint-Nazaire,,,1
piet-allegaert,20thJanuary 1995,Moorslede,,2,15
nicolas-debeaumarche,24thFebruary 1998,Mâcon,,2,2
ludovic-robeet,22ndMay 1994,Nivelles,,,11
camille-charret,3rdJuly 2006,Issoire,,,1
lenny-martinez,11thJuly 2003,Cannes,808,3,2
antonio-tiberi,24thJune 2001,Frosinone,1677,6,6
pello-bilbao,25thFebruary 1990,Guernica,468,17,12
afonso-eulalio,30thSeptember 2001,Figueira da Foz,,2,2
santiago-buitrago-sanchez,26thSeptember 1999,Bogotá,1187,9,8
alec-segaert,16thJanuary 2003,Roeselare,,2,5
edoardo-zambanini,21stApril 2001,Riva del Garda,,5,7
matej-mohoric,19thOctober 1994,Kranj,319,14,34
damiano-caruso,12thOctober 1987,Ragusa,708,22,32
jakob-omrzel,21stMarch 2006,Novo Mesto,,,
pau-miquel-delgado,20thAugust 2000,Sant Quirze del Vallès,,2,5
phil-bauhaus,8thJuly 1994,Bocholt,800,7,7
zak-erzen,19thOctober 2005,Novo mesto,,,2
attila-valter,12thJune 1998,Csömör,,6,10
matevz-govekar,17thApril 2000,Godovič,,2,4
alessandro-borgo,6thFebruary 2005,Conegliano,,,3
robert-stannard,16thSeptember 1998,Sydney,,5,14
vlad-van-mechelen,2ndJune 2004,Leuven,,,2
fran-miholjevic,2ndAugust 2002,Rijeka,,3,7
alberto-bruttomesso,30thOctober 2003,Valdagno,,,
daniel-skerl,21stMarch 2003,Trieste,,,1
kamil-gradek,17thSeptember 1990,Koziegłowy,,6,11
mathijs-paasschens,18thMarch 1996,Rotterdam,,2,12
roman-ermakov,6thOctober 2004,Vyborg,,1,3
rainer-kepplinger,19thAugust 1997,Linz,,2,1
